time,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,head_joint1,head_joint2,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7,chassis_x,chassis_y,chassis_yaw
0,0.299797,1.19996,0.849885,-0.165108,0,0,-2.4e-05,0.46491,-1.60068,0.426903,-0.829098,1.08191,-0.168118,-0.262981,-2,1.60008,0.600051,1.70001,0,0.799993,0,0,0,0
0.5,0.001,1.43172,1.36583,-0.534982,-0.160998,0,-2.4e-05,0.851048,-1.58768,0.233351,-1.33197,-0.144113,-0.022296,-1.18877,-2,1.60008,0.600051,1.70001,0,0.799993,0,-0.003091,-0.012708,0.005776
1,0.288804,1.20668,0.84663,-0.217223,-0.012877,0,-2.4e-05,0.428658,-1.60686,0.438117,-0.785088,1.04967,-0.116068,-0.28002,-2,1.60008,0.600051,1.70001,0,0.799993,0,0.002317,-0.004119,-0.004078
1.5,0.292309,1.19934,0.850312,-0.241246,-0.016428,0,-2.4e-05,0.404154,-1.60679,0.485903,-0.792881,1.00696,-0.060658,-0.279202,-2,1.60008,0.600051,1.70001,0,0.799993,0,0.002407,-0.004134,-0.004128
2,0.297643,1.19137,0.853967,-0.250979,-0.012877,0,-2.4e-05,0.371248,-1.60686,0.559191,-0.805045,0.942978,-0.00441,-0.286338,-2,1.60008,0.600051,1.70001,0,0.799993,0,0.002095,-0.004128,-0.004084
